nombre,sector,telefono,email,direccion,ciudad,pais,macro_area,notas,fecha_ultima_accion,fecha_proxima_accion,tamano_empresa,potencial_empresa,tipologia_modula,usuario_asignado_id,created_by,campaign_id,activa,estado_empresa,texto1_empr,texto2_empr,texto3_empr,fecha1_empr,fecha2_empr,fecha3_empr,numerico1_empr,numerico2_empr,numerico3_empr,company,company_id
empresa prueba12,metal,425524245,email1@mail.com12,a,bilbao,españa,norte,dsfsf,5/11/1989,5/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,13/2/2022,13/2/2022,13/2/2022,1,2,3,aaa,Modula
empresa prueba13,metal,425524245,email1@mail.com13,a,bilbao,españa,norte,dsfsf,6/11/1989,6/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,14/2/2022,14/2/2022,14/2/2022,1,2,3,aaa,Modula
empresa prueba14,metal,425524245,email1@mail.com14,a,bilbao,españa,norte,dsfsf,7/11/1989,7/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,15/2/2022,15/2/2022,15/2/2022,1,2,3,aaa,Modula
empresa prueba15,metal,425524245,email1@mail.com15,a,bilbao,españa,norte,dsfsf,8/11/1989,8/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,16/2/2022,16/2/2022,16/2/2022,1,2,3,aaa,Modula
empresa prueba16,metal,425524245,email1@mail.com16,a,bilbao,españa,norte,dsfsf,9/11/1989,9/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,17/2/2022,17/2/2022,17/2/2022,1,2,3,aaa,Modula
empresa prueba17,metal,425524245,email1@mail.com17,a,bilbao,españa,norte,dsfsf,10/11/1989,10/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,18/2/2022,18/2/2022,18/2/2022,1,2,3,aaa,Modula
empresa prueba18,metal,425524245,email1@mail.com18,a,bilbao,españa,norte,dsfsf,11/11/1989,11/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,19/2/2022,19/2/2022,19/2/2022,1,2,3,aaa,Modula
empresa prueba19,metal,425524245,email1@mail.com19,a,bilbao,españa,norte,dsfsf,12/11/1989,12/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,20/2/2022,20/2/2022,20/2/2022,1,2,3,aaa,Modula
empresa prueba20,metal,425524245,email1@mail.com20,a,bilbao,españa,norte,dsfsf,13/11/1989,13/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,21/2/2022,21/2/2022,21/2/2022,1,2,3,aaa,Modula
empresa prueba21,metal,425524245,email1@mail.com21,a,bilbao,españa,norte,dsfsf,14/11/1989,14/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,22/2/2022,22/2/2022,22/2/2022,1,2,3,aaa,Modula
empresa prueba22,metal,425524245,email1@mail.com22,a,bilbao,españa,norte,dsfsf,15/11/1989,15/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,23/2/2022,23/2/2022,23/2/2022,1,2,3,aaa,Modula
empresa prueba23,metal,425524245,email1@mail.com23,a,bilbao,españa,norte,dsfsf,16/11/1989,16/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,24/2/2022,24/2/2022,24/2/2022,1,2,3,aaa,Modula
empresa prueba24,metal,425524245,email1@mail.com24,a,bilbao,españa,norte,dsfsf,17/11/1989,17/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,25/2/2022,25/2/2022,25/2/2022,1,2,3,aaa,Modula
empresa prueba25,metal,425524245,email1@mail.com25,a,bilbao,españa,norte,dsfsf,18/11/1989,18/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,26/2/2022,26/2/2022,26/2/2022,1,2,3,aaa,Modula
empresa prueba26,metal,425524245,email1@mail.com26,a,bilbao,españa,norte,dsfsf,19/11/1989,19/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,27/2/2022,27/2/2022,27/2/2022,1,2,3,aaa,Modula
empresa prueba27,metal,425524245,email1@mail.com27,a,bilbao,españa,norte,dsfsf,20/11/1989,20/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,28/2/2022,28/2/2022,28/2/2022,1,2,3,aaa,Modula
empresa prueba28,metal,425524245,email1@mail.com28,a,bilbao,españa,norte,dsfsf,21/11/1989,21/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,1/3/2022,1/3/2022,1/3/2022,1,2,3,aaa,Modula
empresa prueba29,metal,425524245,email1@mail.com29,a,bilbao,españa,norte,dsfsf,22/11/1989,22/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,2/3/2022,2/3/2022,2/3/2022,1,2,3,aaa,Modula
empresa prueba30,metal,425524245,email1@mail.com30,a,bilbao,españa,norte,dsfsf,23/11/1989,23/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,3/3/2022,3/3/2022,3/3/2022,1,2,3,aaa,Modula
empresa prueba31,metal,425524245,email1@mail.com31,a,bilbao,españa,norte,dsfsf,24/11/1989,24/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,4/3/2022,4/3/2022,4/3/2022,1,2,3,aaa,Modula
empresa prueba32,metal,425524245,email1@mail.com32,a,bilbao,españa,norte,dsfsf,25/11/1989,25/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,5/3/2022,5/3/2022,5/3/2022,1,2,3,aaa,Modula
empresa prueba33,metal,425524245,email1@mail.com33,a,bilbao,españa,norte,dsfsf,26/11/1989,26/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,6/3/2022,6/3/2022,6/3/2022,1,2,3,aaa,Modula
empresa prueba34,metal,425524245,email1@mail.com34,a,bilbao,españa,norte,dsfsf,27/11/1989,27/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,7/3/2022,7/3/2022,7/3/2022,1,2,3,aaa,Modula
empresa prueba35,metal,425524245,email1@mail.com35,a,bilbao,españa,norte,dsfsf,28/11/1989,28/11/2090,1,3,a,eeee@eeee.com,eeee@eeee.com,prospeccion norte,,,a,a,a,8/3/2022,8/3/2022,8/3/2022,1,2,3,aaa,Modula
